epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.782264,0.164286,1.771165,0.166667,0.01
2,1.765519,0.165079,1.760278,0.211111,0.01
3,1.751801,0.203175,1.745818,0.211111,0.01
4,1.740585,0.224603,1.730526,0.203704,0.01
5,1.709839,0.277778,1.710955,0.244444,0.01
6,1.683401,0.293651,1.676796,0.285185,0.01
7,1.648067,0.297619,1.625406,0.292593,0.01
8,1.595033,0.346032,1.639633,0.281481,0.01
9,1.539171,0.366667,1.552206,0.322222,0.01
10,1.45713,0.424603,1.552333,0.325926,0.01
11,1.431877,0.42381,1.489437,0.337037,0.01
12,1.513833,0.37381,1.429935,0.418519,0.01
13,1.372029,0.450794,1.388913,0.477778,0.01
14,1.373442,0.44127,1.379789,0.477778,0.01
15,1.32433,0.472222,1.358248,0.42963,0.01
16,1.268407,0.488095,1.29055,0.459259,0.01
17,1.323473,0.470635,1.569794,0.374074,0.01
18,1.411146,0.405556,1.481054,0.374074,0.01
19,1.403304,0.405556,1.538221,0.344444,0.01
20,1.301884,0.451587,1.383823,0.444444,0.01
